architecture,experiment_id,s,t,path_id,step_index,q1,q2,q3,q4,q5,q6,d_x,d_y,d_z,position_residual_m,corrector_iterations,correction_norm,step_reductions,rank_jp,rank_jpd,rank_jd_nred,chart_sigma_1,chart_sigma_2,chart_condition,pointing_sigma_1,pointing_sigma_2,pointing_condition,tangent_principal_angle_1,tangent_principal_angle_2,dist_ua_m,dist_ub_m,regular,label
URLikeAligned6R,ATR_EXP_023,-0.06,0.12,row_s=-0.060000_+t,4,0.3581175555832807,-0.37068478869307825,0.4358753328995465,0.32742799169241255,-0.34418258820977193,0.7,-0.15485071014069376,-0.3812084032032275,0.9114282258610211,7.97218214573518e-17,18,1.400818704685347e-05,0,3,5,2,,,,,,,5.376819260840332e-05,0.005604428498084039,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.03,-0.12,row_s=-0.030000_-t,4,0.35760868387661376,-0.4687209408296987,0.6507006157082786,0.3191754420764742,-0.29577399022809386,0.7,-0.009489721834385498,-0.3239758346253228,0.9460177608049076,1.1443916996305594e-16,18,1.2982330950242761e-05,0,3,5,2,,,,,,,7.306041006524162e-05,0.005191546214016941,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.03,-0.09,row_s=-0.030000_-t,3,0.35701757973313336,-0.4565858214232259,0.625087837809065,0.3168332316572197,-0.30530285365946425,0.7,-0.031385604310019646,-0.3288565320468788,0.9438582124303391,1.3877787807814457e-17,18,1.3148008430668143e-05,0,3,5,2,0.9998253324610572,0.9989666683057513,1.0008595523580002,0.9637411677772865,0.7381765084205388,1.305570086264847,7.016701594093803e-05,0.005257826783677298,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.03,-0.06,row_s=-0.030000_-t,2,0.35642506231263477,-0.4444086982262892,0.5991871907173945,0.3144058114981977,-0.3139364239143282,0.7,-0.05262974857522429,-0.33345861526492454,0.9412945667911335,5.551115123125783e-17,18,1.3309465268908738e-05,0,3,5,2,0.9998210136950332,0.9995379068756969,1.0002832377015307,0.9657192594976792,0.7158372293157088,1.349076605614436,6.691461962372939e-05,0.005322436111604433,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.03,-0.03,row_s=-0.030000_-t,1,0.35583305170759727,-0.4321927322796642,0.573025031600644,0.31189514255272793,-0.3216541484111563,0.7,-0.07317518397279639,-0.3377766735759845,0.9383774886678017,1.1102230246251565e-16,18,1.346376565421928e-05,0,3,5,2,0.9998768315813451,0.9998167356285824,1.0000601069682284,0.9675304556964691,0.6920654092759706,1.398033253401129,6.351316292365954e-05,0.005384207016207439,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.03,0.0,-s,1,0.3552433016199471,-0.4199414929978086,0.5466291336700386,0.30930344056923453,-0.32843665888603,0.7,-0.09297751475651447,-0.34180559851831743,0.9351599406364866,5.721958498152797e-17,18,3.337325556243052e-06,0,3,5,2,0.9999887694411042,0.999812828682008,1.0001759736963247,0.969198478195785,0.6668783980331526,1.4533361420227067,5.003430507859286e-05,0.0013359320697353377,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.03,0.03,row_s=-0.030000_+t,1,0.35465738481904446,-0.40765901359665124,0.5200286392488438,0.3066331835559343,-0.3342660953048544,0.7,-0.11199531860744255,-0.34554060768120576,0.9316966979942134,5.721958498152797e-17,18,1.3709887930122848e-05,0,3,5,2,0.9998802044305707,0.9998092121237251,1.0000710058539017,0.9707467313643796,0.6403078032055182,1.5160626287929233,5.7816303813293225e-05,0.005485607945036479,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.03,0.06,row_s=-0.030000_+t,2,0.3540766796168346,-0.395349836173538,0.49325397442963376,0.3038871160107433,-0.3391264541471776,0.7,-0.1301905438538419,-0.348977271394951,0.9280437954863853,1.1188630228279524e-16,18,1.3825959717213138e-05,0,3,5,2,0.9998060487870923,0.9995581618781582,1.0002479964832345,0.9721977879142918,0.6124012676622607,1.5875175954901173,5.5630740804861534e-05,0.0055317654566523645,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.03,0.09,row_s=-0.030000_+t,3,0.35350235767264093,-0.3830190410187644,0.4663367151820722,0.30106824822111783,-0.34300395172376813,0.7,-0.14752889831492866,-0.35211154235511044,0.9242579109222104,6.206335383118183e-17,18,1.3920992886257457e-05,0,3,5,2,0.9998034586417598,0.9990305175468296,1.0007736911749485,0.9735729195687258,0.5832238567684875,1.669295431368454,5.457464999724028e-05,0.00556946549651959,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.03,0.12,row_s=-0.030000_+t,4,0.35293537375421163,-0.3706722590934427,0.4393094053106765,0.2981798501516317,-0.3458873881032703,0.7,-0.1639802138984876,-0.35493978685963734,0.9203956959665998,5.721958498152797e-17,18,1.3991076363674907e-05,0,3,5,2,,,,,,,5.4954813792108004e-05,0.005597147875084394,not_applicable,not_applicable,True,regular
