q6_rad,position_residual_m,pointing_residual,roll_angle_error_rad,roll_axis_misalignment
1.3962634015954636e+00,2.5711504387461569e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.4137166941154069e+00,2.5977921933207332e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.4311699866353502e+00,2.6242361159620288e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.4486232791552935e+00,2.6504801928629494e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
1.4660765716752369e+00,2.6765224254354323e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.4835298641951802e+00,2.7023608304626402e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.5009831567151235e+00,2.7279934402499935e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.5184364492350666e+00,2.7534183027750146e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.5358897417550099e+00,2.7786334818359876e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
1.5533430342749532e+00,2.8036370571994023e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.5707963267948966e+00,2.8284271247461888e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.5882496193148399e+00,2.8530017966167255e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.6057029118347832e+00,2.8773592013546023e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
1.6231562043547265e+00,2.9014974840491491e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.6406094968746698e+00,2.9254148064766811e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.6580627893946132e+00,2.9491093472404941e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.6755160819145565e+00,2.9725793019095746e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
1.6929693744344996e+00,2.9958228831560060e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
1.7104226669544429e+00,3.0188383208910853e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.7278759594743862e+00,3.0416238624001227e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.7453292519943295e+00,3.0641777724759095e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.7627825445142729e+00,3.0864983335508779e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
1.7802358370342162e+00,3.1085838458278822e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.7976891295541595e+00,3.1304326274096544e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.8151424220741028e+00,3.1520430144268849e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.8325957145940461e+00,3.1734133611649389e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
1.8500490071139892e+00,3.1945420401891696e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
1.8675022996339325e+00,3.2154274424688677e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.8849555921538759e+00,3.2360679774997882e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.9024088846738192e+00,3.2564620734252751e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.9198621771937625e+00,3.2766081771559638e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
1.9373154697137058e+00,3.2965047544880617e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.9547687622336491e+00,3.3161502902201649e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.9722220547535925e+00,3.3355432882686706e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.9896753472735358e+00,3.3546822717816949e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.0071286397934789e+00,3.3735657832515420e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.0245819323134224e+00,3.3921923846257016e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.0420352248333655e+00,3.4105606574163679e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.0594885173533091e+00,3.4286692028084473e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.0769418098732522e+00,3.4465166417661008e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.0943951023931953e+00,3.4641016151377525e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.1118483949131388e+00,3.4814227837595975e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.1293016874330819e+00,3.4984788285575809e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.1467549799530254e+00,3.5152684506478592e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.1642082724729685e+00,3.5317903714357064e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
